Id,Ten,Loai,ThuongHieu,Gia,SoLuong,Hinh,MoTa,NoiBat,NgayTao
1,Giày tập gym Yonex Prime Edge Đen,Giay,Yonex,"1,250,000",133,https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=1200&auto=format&fit=crop,"Giày tập gym Yonex Prime Edge Đen thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
2,Vợt tennis Mizuno Energy Wave Xanh royal,Vot,Mizuno,"750,000",134,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1200&auto=format&fit=crop,"Vợt tennis Mizuno Energy Wave Xanh royal thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
3,Giày cầu lông Asics Velocity X Bạc,Giay,Asics,"2,200,000",58,https://images.unsplash.com/photo-1556906781-9a412961c28c?q=80&w=1200&auto=format&fit=crop,"Giày cầu lông Asics Velocity X Bạc thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
4,Quần short thể thao Puma Elite Move Xám,Quan,Puma,"320,000",126,https://images.unsplash.com/photo-1523398002811-999ca8dec234?q=80&w=1200&auto=format&fit=crop,"Quần short thể thao Puma Elite Move Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
5,Balo thể thao Mizuno Carbon Speed Đỏ,Phu kien,Mizuno,"720,000",100,https://images.unsplash.com/photo-1546519638-68e109498ffc?q=80&w=1200&auto=format&fit=crop,"Balo thể thao Mizuno Carbon Speed Đỏ thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
6,Băng cổ tay Lining Prime Edge Xanh navy,Phu kien,Lining,"350,000",15,https://images.unsplash.com/photo-1579952363873-27f3bade9f55?q=80&w=1200&auto=format&fit=crop,"Băng cổ tay Lining Prime Edge Xanh navy thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
7,Tất thể thao Yonex Aero Boost Cam,Phu kien,Yonex,"550,000",177,https://images.unsplash.com/photo-1599058917212-d750089bc07e?q=80&w=1200&auto=format&fit=crop,"Tất thể thao Yonex Aero Boost Cam thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
8,Găng tay tập gym Lining Elite Move Bạc,Phu kien,Lining,"410,000",47,https://images.unsplash.com/photo-1560769629-975ec94e6a86?q=80&w=1200&auto=format&fit=crop,"Găng tay tập gym Lining Elite Move Bạc thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
9,Bóng pickleball Sao Vang Aero Boost Đỏ hồng,Bong,Sao Vang,"1,240,000",19,https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=1200&auto=format&fit=crop,"Bóng pickleball Sao Vang Aero Boost Đỏ hồng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
10,Giày pickleball Nike Rapid Force Đỏ,Giay,Nike,"1,450,000",102,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1200&auto=format&fit=crop,"Giày pickleball Nike Rapid Force Đỏ thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
11,Bình nước New Balance Prime Edge Đen,Phu kien,New Balance,"780,000",18,https://images.unsplash.com/photo-1556906781-9a412961c28c?q=80&w=1200&auto=format&fit=crop,"Bình nước New Balance Prime Edge Đen thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
12,Giày bóng rổ Asics Flex Run Đỏ hồng,Giay,Asics,"1,150,000",136,https://images.unsplash.com/photo-1523398002811-999ca8dec234?q=80&w=1200&auto=format&fit=crop,"Giày bóng rổ Asics Flex Run Đỏ hồng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
13,Quần jogger Yonex Prime Edge Xanh royal,Quan,Yonex,"820,000",177,https://images.unsplash.com/photo-1546519638-68e109498ffc?q=80&w=1200&auto=format&fit=crop,"Quần jogger Yonex Prime Edge Xanh royal thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
14,Áo khoác thể thao STRIDEX Aero Boost Xanh royal,Ao,STRIDEX,"1,080,000",139,https://images.unsplash.com/photo-1579952363873-27f3bade9f55?q=80&w=1200&auto=format&fit=crop,"Áo khoác thể thao STRIDEX Aero Boost Xanh royal thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
15,Vợt cầu lông Yonex Velocity X Xám,Vot,Yonex,"2,300,000",28,https://images.unsplash.com/photo-1599058917212-d750089bc07e?q=80&w=1200&auto=format&fit=crop,"Vợt cầu lông Yonex Velocity X Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
16,Quần legging Nike Power Max Xám,Quan,Nike,"680,000",61,https://images.unsplash.com/photo-1560769629-975ec94e6a86?q=80&w=1200&auto=format&fit=crop,"Quần legging Nike Power Max Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
17,Tất thể thao STRIDEX Power Max Vàng,Phu kien,STRIDEX,"640,000",122,https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=1200&auto=format&fit=crop,"Tất thể thao STRIDEX Power Max Vàng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
18,Quần bóng đá Nike Rapid Force Trắng,Quan,Nike,"460,000",51,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1200&auto=format&fit=crop,"Quần bóng đá Nike Rapid Force Trắng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
19,Giày cầu lông Nike Energy Wave Xám,Giay,Nike,"1,150,000",110,https://images.unsplash.com/photo-1556906781-9a412961c28c?q=80&w=1200&auto=format&fit=crop,"Giày cầu lông Nike Energy Wave Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
20,Vợt pickleball Lining Energy Wave Xám,Vot,Lining,"2,250,000",173,https://images.unsplash.com/photo-1523398002811-999ca8dec234?q=80&w=1200&auto=format&fit=crop,"Vợt pickleball Lining Energy Wave Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
21,Áo khoác thể thao Mizuno Dynamic Core Đỏ,Ao,Mizuno,"800,000",18,https://images.unsplash.com/photo-1546519638-68e109498ffc?q=80&w=1200&auto=format&fit=crop,"Áo khoác thể thao Mizuno Dynamic Core Đỏ thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
22,Bóng futsal Mizuno Elite Move Đỏ,Bong,Mizuno,"720,000",56,https://images.unsplash.com/photo-1579952363873-27f3bade9f55?q=80&w=1200&auto=format&fit=crop,"Bóng futsal Mizuno Elite Move Đỏ thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
23,Bóng đá Puma Active Plus Cam,Bong,Puma,"280,000",106,https://images.unsplash.com/photo-1599058917212-d750089bc07e?q=80&w=1200&auto=format&fit=crop,"Bóng đá Puma Active Plus Cam thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
24,Bóng rổ Nike Air Pro Trắng,Bong,Nike,"1,300,000",71,https://images.unsplash.com/photo-1560769629-975ec94e6a86?q=80&w=1200&auto=format&fit=crop,"Bóng rổ Nike Air Pro Trắng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
25,Bóng đá Puma Power Max Đỏ,Bong,Puma,"600,000",90,https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=1200&auto=format&fit=crop,"Bóng đá Puma Power Max Đỏ thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
26,Áo thun thể thao Yonex Dynamic Core Trắng,Ao,Yonex,"220,000",75,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1200&auto=format&fit=crop,"Áo thun thể thao Yonex Dynamic Core Trắng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
27,Bóng futsal Puma Flex Run Xám,Bong,Puma,"1,500,000",157,https://images.unsplash.com/photo-1556906781-9a412961c28c?q=80&w=1200&auto=format&fit=crop,"Bóng futsal Puma Flex Run Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
28,Quần tập gym Joma Ultra Light Vàng,Quan,Joma,"540,000",66,https://images.unsplash.com/photo-1523398002811-999ca8dec234?q=80&w=1200&auto=format&fit=crop,"Quần tập gym Joma Ultra Light Vàng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
29,Bình nước New Balance Prime Edge Trắng,Phu kien,New Balance,"400,000",180,https://images.unsplash.com/photo-1546519638-68e109498ffc?q=80&w=1200&auto=format&fit=crop,"Bình nước New Balance Prime Edge Trắng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
30,Bóng futsal Joma Ultra Light Xanh royal,Bong,Joma,"1,320,000",43,https://images.unsplash.com/photo-1579952363873-27f3bade9f55?q=80&w=1200&auto=format&fit=crop,"Bóng futsal Joma Ultra Light Xanh royal thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
31,Vợt pickleball Lining Elite Move Xanh navy,Vot,Lining,"1,500,000",67,https://images.unsplash.com/photo-1599058917212-d750089bc07e?q=80&w=1200&auto=format&fit=crop,"Vợt pickleball Lining Elite Move Xanh navy thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
32,Áo chạy bộ Puma Aero Boost Cam,Ao,Puma,"820,000",111,https://images.unsplash.com/photo-1560769629-975ec94e6a86?q=80&w=1200&auto=format&fit=crop,"Áo chạy bộ Puma Aero Boost Cam thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
33,Giày cầu lông Adidas Storm Fit Xanh royal,Giay,Adidas,"3,900,000",72,https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=1200&auto=format&fit=crop,"Giày cầu lông Adidas Storm Fit Xanh royal thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
34,Giày bóng đá Mizuno Aero Boost Xám,Giay,Mizuno,"1,900,000",177,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1200&auto=format&fit=crop,"Giày bóng đá Mizuno Aero Boost Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
35,Bóng pickleball Lining Street Pro Xám,Bong,Lining,"1,140,000",77,https://images.unsplash.com/photo-1556906781-9a412961c28c?q=80&w=1200&auto=format&fit=crop,"Bóng pickleball Lining Street Pro Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
36,Giày bóng đá Asics Prime Edge Đen,Giay,Asics,"1,800,000",161,https://images.unsplash.com/photo-1523398002811-999ca8dec234?q=80&w=1200&auto=format&fit=crop,"Giày bóng đá Asics Prime Edge Đen thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
37,Vợt tennis Yonex Street Pro Vàng,Vot,Yonex,"2,150,000",40,https://images.unsplash.com/photo-1546519638-68e109498ffc?q=80&w=1200&auto=format&fit=crop,"Vợt tennis Yonex Street Pro Vàng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
38,Quần jogger Puma Ultra Light Đen,Quan,Puma,"700,000",135,https://images.unsplash.com/photo-1579952363873-27f3bade9f55?q=80&w=1200&auto=format&fit=crop,"Quần jogger Puma Ultra Light Đen thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
39,Áo bóng đá Lining Flex Run Cam,Ao,Lining,"1,160,000",150,https://images.unsplash.com/photo-1599058917212-d750089bc07e?q=80&w=1200&auto=format&fit=crop,"Áo bóng đá Lining Flex Run Cam thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
40,Vợt pickleball Puma Air Pro Đỏ hồng,Vot,Puma,"1,400,000",30,https://images.unsplash.com/photo-1560769629-975ec94e6a86?q=80&w=1200&auto=format&fit=crop,"Vợt pickleball Puma Air Pro Đỏ hồng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
41,Giày bóng rổ Asics Carbon Speed Cam,Giay,Asics,"1,800,000",158,https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=1200&auto=format&fit=crop,"Giày bóng rổ Asics Carbon Speed Cam thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
42,Bóng pickleball Nike Flex Run Trắng,Bong,Nike,"1,100,000",79,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1200&auto=format&fit=crop,"Bóng pickleball Nike Flex Run Trắng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
43,Giày chạy bộ Adidas Power Max Bạc,Giay,Adidas,"2,800,000",104,https://images.unsplash.com/photo-1556906781-9a412961c28c?q=80&w=1200&auto=format&fit=crop,"Giày chạy bộ Adidas Power Max Bạc thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
44,Bóng chuyền Lining Dynamic Core Cam,Bong,Lining,"800,000",23,https://images.unsplash.com/photo-1523398002811-999ca8dec234?q=80&w=1200&auto=format&fit=crop,"Bóng chuyền Lining Dynamic Core Cam thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
45,Băng cổ tay Nike Aero Boost Bạc,Phu kien,Nike,"140,000",132,https://images.unsplash.com/photo-1546519638-68e109498ffc?q=80&w=1200&auto=format&fit=crop,"Băng cổ tay Nike Aero Boost Bạc thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
46,Balo thể thao Asics Power Max Đỏ hồng,Phu kien,Asics,"350,000",85,https://images.unsplash.com/photo-1579952363873-27f3bade9f55?q=80&w=1200&auto=format&fit=crop,"Balo thể thao Asics Power Max Đỏ hồng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
47,Vợt tennis Yonex Energy Wave Xanh royal,Vot,Yonex,"1,700,000",67,https://images.unsplash.com/photo-1599058917212-d750089bc07e?q=80&w=1200&auto=format&fit=crop,"Vợt tennis Yonex Energy Wave Xanh royal thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
48,Quần bóng đá New Balance Velocity X Xám,Quan,New Balance,"520,000",50,https://images.unsplash.com/photo-1560769629-975ec94e6a86?q=80&w=1200&auto=format&fit=crop,"Quần bóng đá New Balance Velocity X Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
49,Vợt pickleball Asics Elite Move Đỏ hồng,Vot,Asics,"650,000",143,https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=1200&auto=format&fit=crop,"Vợt pickleball Asics Elite Move Đỏ hồng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
50,Quần legging Mizuno Dynamic Core Đen,Quan,Mizuno,"740,000",17,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1200&auto=format&fit=crop,"Quần legging Mizuno Dynamic Core Đen thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
51,Bóng đá Nike Aero Boost Xám,Bong,Nike,"1,120,000",156,https://images.unsplash.com/photo-1556906781-9a412961c28c?q=80&w=1200&auto=format&fit=crop,"Bóng đá Nike Aero Boost Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
52,Giày bóng rổ STRIDEX Velocity X Xám,Giay,STRIDEX,"3,800,000",66,https://images.unsplash.com/photo-1523398002811-999ca8dec234?q=80&w=1200&auto=format&fit=crop,"Giày bóng rổ STRIDEX Velocity X Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
53,Bình nước Under Armour Velocity X Bạc,Phu kien,Under Armour,"740,000",159,https://images.unsplash.com/photo-1546519638-68e109498ffc?q=80&w=1200&auto=format&fit=crop,"Bình nước Under Armour Velocity X Bạc thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
54,Bóng chuyền Sao Vang Street Pro Bạc,Bong,Sao Vang,"520,000",80,https://images.unsplash.com/photo-1579952363873-27f3bade9f55?q=80&w=1200&auto=format&fit=crop,"Bóng chuyền Sao Vang Street Pro Bạc thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
55,Bóng pickleball Adidas Rapid Force Trắng,Bong,Adidas,"1,160,000",159,https://images.unsplash.com/photo-1599058917212-d750089bc07e?q=80&w=1200&auto=format&fit=crop,"Bóng pickleball Adidas Rapid Force Trắng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
56,Bóng chuyền Puma Dynamic Core Xanh royal,Bong,Puma,"600,000",5,https://images.unsplash.com/photo-1560769629-975ec94e6a86?q=80&w=1200&auto=format&fit=crop,"Bóng chuyền Puma Dynamic Core Xanh royal thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
57,Giày cầu lông Nike Prime Edge Đỏ,Giay,Nike,"3,400,000",157,https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=1200&auto=format&fit=crop,"Giày cầu lông Nike Prime Edge Đỏ thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
58,Áo khoác thể thao Nike Air Pro Đỏ,Ao,Nike,"880,000",99,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1200&auto=format&fit=crop,"Áo khoác thể thao Nike Air Pro Đỏ thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
59,Vợt pickleball Puma Street Pro Bạc,Vot,Puma,"3,050,000",5,https://images.unsplash.com/photo-1556906781-9a412961c28c?q=80&w=1200&auto=format&fit=crop,"Vợt pickleball Puma Street Pro Bạc thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
60,Bình nước Asics Ultra Light Cam,Phu kien,Asics,"290,000",150,https://images.unsplash.com/photo-1523398002811-999ca8dec234?q=80&w=1200&auto=format&fit=crop,"Bình nước Asics Ultra Light Cam thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
61,Quần bóng đá Yonex Carbon Speed Cam,Quan,Yonex,"780,000",92,https://images.unsplash.com/photo-1546519638-68e109498ffc?q=80&w=1200&auto=format&fit=crop,"Quần bóng đá Yonex Carbon Speed Cam thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
62,Túi đựng giày Lining Active Plus Vàng,Phu kien,Lining,"760,000",105,https://images.unsplash.com/photo-1579952363873-27f3bade9f55?q=80&w=1200&auto=format&fit=crop,"Túi đựng giày Lining Active Plus Vàng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
63,Vợt cầu lông Puma Aero Boost Cam,Vot,Puma,"950,000",88,https://images.unsplash.com/photo-1599058917212-d750089bc07e?q=80&w=1200&auto=format&fit=crop,"Vợt cầu lông Puma Aero Boost Cam thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
64,Áo chạy bộ Under Armour Elite Move Xanh navy,Ao,Under Armour,"1,100,000",125,https://images.unsplash.com/photo-1560769629-975ec94e6a86?q=80&w=1200&auto=format&fit=crop,"Áo chạy bộ Under Armour Elite Move Xanh navy thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
65,Vợt tennis Sao Vang Carbon Speed Đen,Vot,Sao Vang,"2,000,000",154,https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=1200&auto=format&fit=crop,"Vợt tennis Sao Vang Carbon Speed Đen thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
66,Vợt pickleball STRIDEX Aero Boost Xanh royal,Vot,STRIDEX,"800,000",102,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1200&auto=format&fit=crop,"Vợt pickleball STRIDEX Aero Boost Xanh royal thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
67,Vợt tennis Under Armour Air Pro Xám,Vot,Under Armour,"1,600,000",114,https://images.unsplash.com/photo-1556906781-9a412961c28c?q=80&w=1200&auto=format&fit=crop,"Vợt tennis Under Armour Air Pro Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
