Id,Ten,Loai,ThuongHieu,Gia,SoLuong,Hinh,MoTa,NoiBat,NgayTao
134,Quần short thể thao Adidas Energy Wave Xanh navy,Quan,Adidas,"1,180,000",128,https://images.unsplash.com/photo-1579952363873-27f3bade9f55?q=80&w=1200&auto=format&fit=crop,"Quần short thể thao Adidas Energy Wave Xanh navy thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
135,Bóng pickleball Mizuno Energy Wave Bạc,Bong,Mizuno,"1,220,000",92,https://images.unsplash.com/photo-1599058917212-d750089bc07e?q=80&w=1200&auto=format&fit=crop,"Bóng pickleball Mizuno Energy Wave Bạc thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
136,Áo khoác thể thao Nike Prime Edge Cam,Ao,Nike,"180,000",33,https://images.unsplash.com/photo-1560769629-975ec94e6a86?q=80&w=1200&auto=format&fit=crop,"Áo khoác thể thao Nike Prime Edge Cam thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
137,Bóng đá Puma Power Max Đỏ hồng,Bong,Puma,"820,000",45,https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=1200&auto=format&fit=crop,"Bóng đá Puma Power Max Đỏ hồng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
138,Vợt pickleball Nike Prime Edge Xám,Vot,Nike,"500,000",107,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1200&auto=format&fit=crop,"Vợt pickleball Nike Prime Edge Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
139,Giày bóng đá New Balance Carbon Speed Đỏ,Giay,New Balance,"1,350,000",136,https://images.unsplash.com/photo-1556906781-9a412961c28c?q=80&w=1200&auto=format&fit=crop,"Giày bóng đá New Balance Carbon Speed Đỏ thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
140,Giày bóng rổ Joma Active Plus Đen,Giay,Joma,"3,150,000",92,https://images.unsplash.com/photo-1523398002811-999ca8dec234?q=80&w=1200&auto=format&fit=crop,"Giày bóng rổ Joma Active Plus Đen thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
141,Bóng rổ Lining Prime Edge Đỏ hồng,Bong,Lining,"240,000",21,https://images.unsplash.com/photo-1546519638-68e109498ffc?q=80&w=1200&auto=format&fit=crop,"Bóng rổ Lining Prime Edge Đỏ hồng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
142,Bóng futsal Joma Aero Boost Xanh navy,Bong,Joma,"520,000",39,https://images.unsplash.com/photo-1579952363873-27f3bade9f55?q=80&w=1200&auto=format&fit=crop,"Bóng futsal Joma Aero Boost Xanh navy thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
143,Quần tập gym Nike Flex Run Đỏ,Quan,Nike,"260,000",98,https://images.unsplash.com/photo-1599058917212-d750089bc07e?q=80&w=1200&auto=format&fit=crop,"Quần tập gym Nike Flex Run Đỏ thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
144,Áo chạy bộ Nike Storm Fit Đỏ,Ao,Nike,"880,000",97,https://images.unsplash.com/photo-1560769629-975ec94e6a86?q=80&w=1200&auto=format&fit=crop,"Áo chạy bộ Nike Storm Fit Đỏ thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
145,Quần short thể thao Adidas Energy Wave Bạc,Quan,Adidas,"900,000",136,https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=1200&auto=format&fit=crop,"Quần short thể thao Adidas Energy Wave Bạc thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
146,Bóng rổ Sao Vang Active Plus Cam,Bong,Sao Vang,"800,000",122,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1200&auto=format&fit=crop,"Bóng rổ Sao Vang Active Plus Cam thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
147,Quần tập gym Nike Energy Wave Cam,Quan,Nike,"460,000",162,https://images.unsplash.com/photo-1556906781-9a412961c28c?q=80&w=1200&auto=format&fit=crop,"Quần tập gym Nike Energy Wave Cam thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
148,Balo thể thao STRIDEX Rapid Force Xanh royal,Phu kien,STRIDEX,"340,000",73,https://images.unsplash.com/photo-1523398002811-999ca8dec234?q=80&w=1200&auto=format&fit=crop,"Balo thể thao STRIDEX Rapid Force Xanh royal thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
149,Quần short thể thao Yonex Street Pro Đen,Quan,Yonex,"1,280,000",80,https://images.unsplash.com/photo-1546519638-68e109498ffc?q=80&w=1200&auto=format&fit=crop,"Quần short thể thao Yonex Street Pro Đen thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
150,Vợt tennis Sao Vang Street Pro Đỏ,Vot,Sao Vang,"1,950,000",113,https://images.unsplash.com/photo-1579952363873-27f3bade9f55?q=80&w=1200&auto=format&fit=crop,"Vợt tennis Sao Vang Street Pro Đỏ thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
151,Bóng chuyền Joma Storm Fit Trắng,Bong,Joma,"680,000",37,https://images.unsplash.com/photo-1599058917212-d750089bc07e?q=80&w=1200&auto=format&fit=crop,"Bóng chuyền Joma Storm Fit Trắng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
152,Áo khoác thể thao Puma Street Pro Đỏ,Ao,Puma,"440,000",69,https://images.unsplash.com/photo-1560769629-975ec94e6a86?q=80&w=1200&auto=format&fit=crop,"Áo khoác thể thao Puma Street Pro Đỏ thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
153,Áo khoác thể thao Nike Rapid Force Xám,Ao,Nike,"1,120,000",70,https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=1200&auto=format&fit=crop,"Áo khoác thể thao Nike Rapid Force Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
154,Tất thể thao Asics Flex Run Đen,Phu kien,Asics,"440,000",55,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1200&auto=format&fit=crop,"Tất thể thao Asics Flex Run Đen thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
155,Giày chạy bộ Asics Aero Boost Xám,Giay,Asics,"1,500,000",45,https://images.unsplash.com/photo-1556906781-9a412961c28c?q=80&w=1200&auto=format&fit=crop,"Giày chạy bộ Asics Aero Boost Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
156,Áo thun thể thao New Balance Air Pro Xanh royal,Ao,New Balance,"1,060,000",6,https://images.unsplash.com/photo-1523398002811-999ca8dec234?q=80&w=1200&auto=format&fit=crop,"Áo thun thể thao New Balance Air Pro Xanh royal thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
157,Áo gym Sao Vang Elite Move Bạc,Ao,Sao Vang,"700,000",25,https://images.unsplash.com/photo-1546519638-68e109498ffc?q=80&w=1200&auto=format&fit=crop,"Áo gym Sao Vang Elite Move Bạc thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
158,Tất thể thao Sao Vang Carbon Speed Đỏ hồng,Phu kien,Sao Vang,"630,000",76,https://images.unsplash.com/photo-1579952363873-27f3bade9f55?q=80&w=1200&auto=format&fit=crop,"Tất thể thao Sao Vang Carbon Speed Đỏ hồng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
159,Giày chạy bộ Nike Prime Edge Cam,Giay,Nike,"3,400,000",180,https://images.unsplash.com/photo-1599058917212-d750089bc07e?q=80&w=1200&auto=format&fit=crop,"Giày chạy bộ Nike Prime Edge Cam thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
160,Vợt cầu lông New Balance Elite Move Đen,Vot,New Balance,"1,250,000",143,https://images.unsplash.com/photo-1560769629-975ec94e6a86?q=80&w=1200&auto=format&fit=crop,"Vợt cầu lông New Balance Elite Move Đen thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
161,Áo chạy bộ Adidas Elite Move Xanh navy,Ao,Adidas,"520,000",60,https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=1200&auto=format&fit=crop,"Áo chạy bộ Adidas Elite Move Xanh navy thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
162,Vợt pickleball Mizuno Energy Wave Cam,Vot,Mizuno,"1,900,000",52,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1200&auto=format&fit=crop,"Vợt pickleball Mizuno Energy Wave Cam thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
163,Vợt tennis Yonex Power Max Đỏ,Vot,Yonex,"450,000",74,https://images.unsplash.com/photo-1556906781-9a412961c28c?q=80&w=1200&auto=format&fit=crop,"Vợt tennis Yonex Power Max Đỏ thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
164,Băng cổ tay Lining Power Max Đỏ hồng,Phu kien,Lining,"680,000",29,https://images.unsplash.com/photo-1523398002811-999ca8dec234?q=80&w=1200&auto=format&fit=crop,"Băng cổ tay Lining Power Max Đỏ hồng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
165,Tất thể thao Under Armour Aero Boost Đen,Phu kien,Under Armour,"560,000",130,https://images.unsplash.com/photo-1546519638-68e109498ffc?q=80&w=1200&auto=format&fit=crop,"Tất thể thao Under Armour Aero Boost Đen thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
166,Vợt tennis Sao Vang Velocity X Đỏ,Vot,Sao Vang,"3,150,000",150,https://images.unsplash.com/photo-1579952363873-27f3bade9f55?q=80&w=1200&auto=format&fit=crop,"Vợt tennis Sao Vang Velocity X Đỏ thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
167,Túi đựng giày Nike Velocity X Đen,Phu kien,Nike,"400,000",12,https://images.unsplash.com/photo-1599058917212-d750089bc07e?q=80&w=1200&auto=format&fit=crop,"Túi đựng giày Nike Velocity X Đen thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
168,Áo khoác thể thao Nike Ultra Light Xanh navy,Ao,Nike,"1,120,000",104,https://images.unsplash.com/photo-1560769629-975ec94e6a86?q=80&w=1200&auto=format&fit=crop,"Áo khoác thể thao Nike Ultra Light Xanh navy thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
169,Áo gym Adidas Dynamic Core Xanh navy,Ao,Adidas,"600,000",133,https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=1200&auto=format&fit=crop,"Áo gym Adidas Dynamic Core Xanh navy thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
170,Quần legging Nike Dynamic Core Trắng,Quan,Nike,"640,000",69,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1200&auto=format&fit=crop,"Quần legging Nike Dynamic Core Trắng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
171,Vợt pickleball Sao Vang Aero Boost Xanh navy,Vot,Sao Vang,"1,050,000",89,https://images.unsplash.com/photo-1556906781-9a412961c28c?q=80&w=1200&auto=format&fit=crop,"Vợt pickleball Sao Vang Aero Boost Xanh navy thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
172,Vợt pickleball Under Armour Street Pro Xanh navy,Vot,Under Armour,"1,000,000",66,https://images.unsplash.com/photo-1523398002811-999ca8dec234?q=80&w=1200&auto=format&fit=crop,"Vợt pickleball Under Armour Street Pro Xanh navy thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
173,Giày bóng đá New Balance Carbon Speed Xanh navy,Giay,New Balance,"2,900,000",96,https://images.unsplash.com/photo-1546519638-68e109498ffc?q=80&w=1200&auto=format&fit=crop,"Giày bóng đá New Balance Carbon Speed Xanh navy thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
174,Quần bóng đá Puma Carbon Speed Xám,Quan,Puma,"820,000",116,https://images.unsplash.com/photo-1579952363873-27f3bade9f55?q=80&w=1200&auto=format&fit=crop,"Quần bóng đá Puma Carbon Speed Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
175,Vợt cầu lông Asics Carbon Speed Đen,Vot,Asics,"2,900,000",98,https://images.unsplash.com/photo-1599058917212-d750089bc07e?q=80&w=1200&auto=format&fit=crop,"Vợt cầu lông Asics Carbon Speed Đen thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
176,Bóng chuyền Asics Air Pro Bạc,Bong,Asics,"660,000",113,https://images.unsplash.com/photo-1560769629-975ec94e6a86?q=80&w=1200&auto=format&fit=crop,"Bóng chuyền Asics Air Pro Bạc thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
177,Áo chạy bộ New Balance Ultra Light Đen,Ao,New Balance,"720,000",166,https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=1200&auto=format&fit=crop,"Áo chạy bộ New Balance Ultra Light Đen thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
178,Giày chạy bộ Puma Air Pro Đỏ,Giay,Puma,"1,000,000",47,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1200&auto=format&fit=crop,"Giày chạy bộ Puma Air Pro Đỏ thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
179,Giày bóng rổ STRIDEX Active Plus Trắng,Giay,STRIDEX,"3,200,000",27,https://images.unsplash.com/photo-1556906781-9a412961c28c?q=80&w=1200&auto=format&fit=crop,"Giày bóng rổ STRIDEX Active Plus Trắng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
180,Vợt pickleball Joma Elite Move Trắng,Vot,Joma,"900,000",22,https://images.unsplash.com/photo-1523398002811-999ca8dec234?q=80&w=1200&auto=format&fit=crop,"Vợt pickleball Joma Elite Move Trắng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
181,Quần bóng đá Yonex Flex Run Đỏ hồng,Quan,Yonex,"300,000",159,https://images.unsplash.com/photo-1546519638-68e109498ffc?q=80&w=1200&auto=format&fit=crop,"Quần bóng đá Yonex Flex Run Đỏ hồng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
182,Quần tập gym Puma Carbon Speed Đỏ,Quan,Puma,"800,000",159,https://images.unsplash.com/photo-1579952363873-27f3bade9f55?q=80&w=1200&auto=format&fit=crop,"Quần tập gym Puma Carbon Speed Đỏ thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
183,Giày pickleball STRIDEX Velocity X Xám,Giay,STRIDEX,"3,500,000",94,https://images.unsplash.com/photo-1599058917212-d750089bc07e?q=80&w=1200&auto=format&fit=crop,"Giày pickleball STRIDEX Velocity X Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
184,Bóng pickleball STRIDEX Ultra Light Cam,Bong,STRIDEX,"1,200,000",154,https://images.unsplash.com/photo-1560769629-975ec94e6a86?q=80&w=1200&auto=format&fit=crop,"Bóng pickleball STRIDEX Ultra Light Cam thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
185,Bóng pickleball Lining Air Pro Đỏ,Bong,Lining,"1,580,000",148,https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=1200&auto=format&fit=crop,"Bóng pickleball Lining Air Pro Đỏ thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
186,Áo khoác thể thao New Balance Prime Edge Vàng,Ao,New Balance,"680,000",79,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1200&auto=format&fit=crop,"Áo khoác thể thao New Balance Prime Edge Vàng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
187,Tất thể thao Puma Rapid Force Đỏ,Phu kien,Puma,"790,000",22,https://images.unsplash.com/photo-1556906781-9a412961c28c?q=80&w=1200&auto=format&fit=crop,"Tất thể thao Puma Rapid Force Đỏ thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
188,Quần tập gym Asics Ultra Light Trắng,Quan,Asics,"1,300,000",177,https://images.unsplash.com/photo-1523398002811-999ca8dec234?q=80&w=1200&auto=format&fit=crop,"Quần tập gym Asics Ultra Light Trắng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
189,Quần tập gym Under Armour Prime Edge Xám,Quan,Under Armour,"700,000",87,https://images.unsplash.com/photo-1546519638-68e109498ffc?q=80&w=1200&auto=format&fit=crop,"Quần tập gym Under Armour Prime Edge Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
190,Giày bóng đá Puma Active Plus Xanh navy,Giay,Puma,"3,650,000",79,https://images.unsplash.com/photo-1579952363873-27f3bade9f55?q=80&w=1200&auto=format&fit=crop,"Giày bóng đá Puma Active Plus Xanh navy thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
191,Vợt cầu lông Sao Vang Velocity X Bạc,Vot,Sao Vang,"2,100,000",61,https://images.unsplash.com/photo-1599058917212-d750089bc07e?q=80&w=1200&auto=format&fit=crop,"Vợt cầu lông Sao Vang Velocity X Bạc thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
192,Vợt pickleball Yonex Aero Boost Trắng,Vot,Yonex,"2,050,000",158,https://images.unsplash.com/photo-1560769629-975ec94e6a86?q=80&w=1200&auto=format&fit=crop,"Vợt pickleball Yonex Aero Boost Trắng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
193,Giày cầu lông Under Armour Flex Run Đỏ hồng,Giay,Under Armour,"1,350,000",50,https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=1200&auto=format&fit=crop,"Giày cầu lông Under Armour Flex Run Đỏ hồng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
194,Quần short thể thao Asics Carbon Speed Đen,Quan,Asics,"940,000",10,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1200&auto=format&fit=crop,"Quần short thể thao Asics Carbon Speed Đen thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
195,Bóng futsal Asics Storm Fit Đen,Bong,Asics,"820,000",156,https://images.unsplash.com/photo-1556906781-9a412961c28c?q=80&w=1200&auto=format&fit=crop,"Bóng futsal Asics Storm Fit Đen thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
196,Bóng chuyền Under Armour Air Pro Xanh royal,Bong,Under Armour,"620,000",33,https://images.unsplash.com/photo-1523398002811-999ca8dec234?q=80&w=1200&auto=format&fit=crop,"Bóng chuyền Under Armour Air Pro Xanh royal thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
197,Balo thể thao Nike Power Max Cam,Phu kien,Nike,"210,000",169,https://images.unsplash.com/photo-1546519638-68e109498ffc?q=80&w=1200&auto=format&fit=crop,"Balo thể thao Nike Power Max Cam thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
198,Quần tập gym Asics Active Plus Đỏ,Quan,Asics,"760,000",42,https://images.unsplash.com/photo-1579952363873-27f3bade9f55?q=80&w=1200&auto=format&fit=crop,"Quần tập gym Asics Active Plus Đỏ thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
199,Quần jogger Nike Air Pro Cam,Quan,Nike,"720,000",147,https://images.unsplash.com/photo-1599058917212-d750089bc07e?q=80&w=1200&auto=format&fit=crop,"Quần jogger Nike Air Pro Cam thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
200,Giày tập gym Nike Rapid Force Trắng,Giay,Nike,"3,800,000",79,https://images.unsplash.com/photo-1560769629-975ec94e6a86?q=80&w=1200&auto=format&fit=crop,"Giày tập gym Nike Rapid Force Trắng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",FALSE,2026-05-31
